cruiseseries,Description,status,year,cruise,range,shipname,RAW_files,Original_WORK_files,WS_WORK_files,koronaprocessing
macvin,Akustisk måling av makrell og taggmakrell.,,2000,S2000012_PGOSARS_1024,500,GO Sars,/data/cruise_data/2000/S2000012_PGOSARS_1024/ACOUSTIC_DATA/BEI/BEI_RAWDATA,/data/cruise_data/2000/S2000012_PGOSARS_1024/ACOUSTIC_DATA/LSSS/WORK,/data/s3/MACWIN-scratch/2000/S2000012_PGOSARS_1024/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2000/S2000012_PGOSARS_1024/ACOUSTIC/LSSS/KORONA
macvin,Akustikk metodeutvikling kartlegging og mengdeberegning av makrell,,2001,S2001013_PGOSARS_1024,500,GO Sars,/data/cruise_data/2001/S2001013_PGOSARS_1024/ACOUSTIC_DATA/BEI/BEI_RAWDATA,/data/cruise_data/2001/S2001013_PGOSARS_1024/ACOUSTIC_DATA/LSSS/WORK,/data/s3/MACWIN-scratch/2001/S2001013_PGOSARS_1024/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2001/S2001013_PGOSARS_1024/ACOUSTIC/LSSS/KORONA
macvin,Kartlegging av makrellbestanden. Metodeutvikling akustikk.,,2002,S2002015_PGOSARS_1024,500,GO Sars,/data/cruise_data/2002/S2002015_PGOSARS_1024/ACOUSTIC_DATA/BEI/BEI_RAWDATA,/data/cruise_data/2002/S2002015_PGOSARS_1024/ACOUSTIC_DATA/LSSS/WORK,/data/s3/MACWIN-scratch/2002/S2002015_PGOSARS_1024/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2002/S2002015_PGOSARS_1024/ACOUSTIC/LSSS/KORONA
macvin,Akustisk identifisering av arter (SIMFAMI).,,2003,S2003112_PGOSARS_4174,500,GO Sars,/data/cruise_data/2003/S2003112_PGOSARS_4174/ACOUSTIC_DATA/BEI/BEI_RAWDATA,/data/cruise_data/2003/S2003112_PGOSARS_4174/ACOUSTIC_DATA/LSSS/WORK,/data/s3/MACWIN-scratch/2003/S2003112_PGOSARS_4174/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2003/S2003112_PGOSARS_4174/ACOUSTIC/LSSS/KORONA
macvin,Akustisk artsidentifisering mengdemåling makrell (SIMFAMI). Hydrografi plankton ekst./int. prosjekt.,,2004,S2004113_PGOSARS_4174,500,GO Sars,/data/cruise_data/2004/S2004113_PGOSARS_4174/ACOUSTIC_DATA/BEI/BEI_RAWDATA,/data/cruise_data/2004/S2004113_PGOSARS_4174/ACOUSTIC_DATA/LSSS/WORK,/data/s3/MACWIN-scratch/2004/S2004113_PGOSARS_4174/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2004/S2004113_PGOSARS_4174/ACOUSTIC/LSSS/KORONA
macvin,North Sea ecosystem. Overvåkning forurensning. Inns. miljøprøver mhp. radioaktivitet. Nordsjøen. Plankton i Skagerrak og Nordsjøen. Miljøseminar. Oslo.,OK,2005,S2005114_PGOSARS_4174,500,GO Sars,/data/cruise_data/2005/S2005114_PGOSARS_4174/ACOUSTIC_DATA/EK60/EK60_RAWDATA,/data/cruise_data/2005/S2005114_PGOSARS_4174/ACOUSTIC_DATA/LSSS/WORK,/data/s3/MACWIN-scratch/2005/S2005114_PGOSARS_4174/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2005/S2005114_PGOSARS_4174/ACOUSTIC/LSSS/KORONA
macvin,Akustikk makrell.,"Fail, ek500 data",2006,S2006212_PJOHANHJORT_1019,500,Johan Hjort,/data/cruise_data/2006/S2006212_PJOHANHJORT_1019/ACOUSTIC_DATA/BEI/BEI_RAWDATA,/data/cruise_data/2006/S2006212_PJOHANHJORT_1019/ACOUSTIC_DATA/LSSS/WORK,/data/s3/MACWIN-scratch/2006/S2006212_PJOHANHJORT_1019/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2006/S2006212_PJOHANHJORT_1019/ACOUSTIC/LSSS/KORONA
macvin,Makrellakustikk.,OK,2007,2007211_PJOHANHJORT_1019,500,Johan Hjort,/data/cruise_data/2007/S2007211_PJOHANHJORT_1019/ACOUSTIC_DATA/EK60/EK60_RAWDATA,/data/cruise_data/2007/S2007211_PJOHANHJORT_1019/ACOUSTIC_DATA/LSSS/WORK,/data/s3/MACWIN-scratch/2007/2007211_PJOHANHJORT_1019/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2007/2007211_PJOHANHJORT_1019/ACOUSTIC/LSSS/KORONA
macvin,Kartlegge soneutbredelse og mengde makrell i Norske Økonomisk Sone (NØS)og EU farvann i Nordsjøen. Relatere makrellens vandring utbredelse og aggregering med gjeldende oseanografiske forhold.,OK,2012,S2012842_PCHRISTINAE_2704,500,Christina E,/data/cruise_data/2012/S2012842_PCHRISTINAE_2704/ACOUSTIC_DATA/LSSS/S2012842PChristinaE[2704]/EK60Raw,/data/cruise_data/2012/S2012842_PCHRISTINAE_2704/ACOUSTIC_DATA/LSSS/S2012842PChristinaE[2704]/Work,/data/s3/MACWIN-scratch/2012/S2012842_PCHRISTINAE_2704/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2012/S2012842_PCHRISTINAE_2704/ACOUSTIC/LSSS/KORONA
macvin,Kartlegge soneutbredelse og mengde makrell i Norske Økonomisk Sone (NØS)og EU farvann i Nordsjøen. Relatere makrellens vandring utbredelse og aggregering med gjeldende oseanografiske forhold.,Usikker,2012,S2012843_PBRENNHOLM_4405,500,Brennholm,/data/cruise_data/2012/S2012843_PBRENNHOLM_4405/EK60Raw,/data/cruise_data/2012/S2012843_PBRENNHOLM_4405/Work,/data/s3/MACWIN-scratch/2012/S2012843_PBRENNHOLM_4405/ACOUSTIC/LSSS/WORK,/data/s3/MACWIN-scratch/2012/S2012843_PBRENNHOLM_4405/ACOUSTIC/LSSS/KORONA
